integrator,stage,time,x,z,u
IE,1,0.0,0.0,0.0,2.000000017329836
IE,2,0.2,0.3637281122156028,0.1823686559637906,2.000000004668874
IE,3,0.4,0.6949497881601375,0.3510581632139461,0.8892918983489256
IE,4,0.6,0.7944428354108938,0.40261617331575145,0.41880118188043775
IE,5,0.8,0.7993660549122565,0.40518097053863306,0.3955197673892061
IE,6,1.0,0.7996096592434668,0.4053079135103129,0.3943677982668622
IE,7,1.2,0.7996217150680003,0.4053141959238058,0.39431102513958627
IE,8,1.4,0.7996223549778662,0.40531452938760965,0.39431280256892204
IE,9,1.6,0.7996232633697549,0.4053150027602765,0.39440558542253873
IE,10,1.8,0.799641026973962,0.40532425957245977,0.39628353693815005
IE,11,2.0,0.8000000000000002,0.4055113281920412,5.337985572592538e-16
RK4,1,0.0,0.0,0.0,2.000000017176538
RK4,2,0.2,0.3806791857100838,0.19091844935747826,1.9999999935077446
RK4,3,0.4,0.7254888963910778,0.3668303900122431,0.7297700029274757
RK4,4,0.6,0.7962488633473659,0.40355688409358564,0.40957532934000596
RK4,5,0.8,0.7994688269186334,0.40523452494582546,0.39500258646795433
RK4,6,1.0,0.7996153545690137,0.4053108814017067,0.39433944279016936
RK4,7,1.2,0.7996220239987548,0.40531435691088885,0.3943094361541507
RK4,8,1.4,0.799622361396262,0.40531453273230383,0.3943118149959249
RK4,9,1.6,0.799623121672168,0.40531492892015514,0.3943942052235392
RK4,10,1.8,0.7996395260289673,0.40532347741260927,0.39620610958613806
RK4,11,2.0,0.8000000000000002,0.4055113281920412,5.057372108363906e-14
IRK4,1,0.0,0.0,0.0,2.000000017176535
IRK4,2,0.2,0.38067945859837266,0.1909185870525584,1.9999999935073502
IRK4,3,0.4,0.725489281657866,0.3668305892742054,0.7297680692076106
IRK4,4,0.6,0.7962488836937262,0.40355689469246964,0.40957522777202676
IRK4,5,0.8,0.7994688279970618,0.4052345255077967,0.3950025811535594
IRK4,6,1.0,0.7996153546250867,0.4053108814309269,0.39433944251661807
IRK4,7,1.2,0.7996220240016186,0.4053143569123812,0.39430943613962305
IRK4,8,1.4,0.7996223613963002,0.4053145327323237,0.39431181498512613
IRK4,9,1.6,0.7996231216706087,0.40531492891934257,0.39439420508809875
IRK4,10,1.8,0.7996395260117642,0.4053234774036446,0.3962061085115668
IRK4,11,2.0,0.8000000000000002,0.4055113281920412,5.057332013472049e-14
