run_label,step_index,time,forecast_update_s,solve_tracking_mpc_s,step_total_s,status,objective,q_prev,q_apply
single,0,0.0,6.55e-5,0.0174968,0.0175674,LOCALLY_SOLVED,2.5553163141012192e-8,168.0,439.2213358577995
single,1,20.0,9.82e-5,0.0091565,0.0092575,LOCALLY_SOLVED,2.6426278054714203e-8,439.2213358577995,300.46034180246795
single,2,40.0,8.19e-5,0.009323,0.0094116,LOCALLY_SOLVED,2.7299392968416214e-8,300.46034180246795,48.16077503199846
single,3,60.0,0.0001262,0.0128047,0.0129345,LOCALLY_SOLVED,2.8114300221204758e-8,48.16077503199846,107.763046529247
single,4,80.0,5.68e-5,0.0081506,0.0082102,LOCALLY_SOLVED,2.9511284083127975e-8,107.763046529247,193.7961271732251
single,5,100.0,5.49e-5,0.0068032,0.006861,LOCALLY_SOLVED,2.9482180252671242e-8,193.7961271732251,194.20296243644233
single,6,120.0,5.19e-5,0.0070162,0.0070712,LOCALLY_SOLVED,2.954038791358471e-8,194.20296243644233,161.06987278796606
single,7,140.0,5.44e-5,0.0061824,0.006239,LOCALLY_SOLVED,2.954038791358471e-8,161.06987278796606,156.48902752412945
single,8,160.0,5.12e-5,0.0063095,0.0063637,LOCALLY_SOLVED,3.009336069226265e-8,156.48902752412945,167.66246302988222
single,9,180.0,5.38e-5,0.0067827,0.0068394,LOCALLY_SOLVED,3.018067218363285e-8,167.66246302988222,171.2132671099565
single,10,200.0,5.42e-5,0.0079495,0.0080076,LOCALLY_SOLVED,2.9831426218152046e-8,171.2132671099565,167.71158501066864
single,11,220.0,0.0001512,0.0077011,0.0078554,LOCALLY_SOLVED,2.9132934287190437e-8,167.71158501066864,165.85443964860514
single,12,240.0,5.22e-5,0.0077429,0.0077984,LOCALLY_SOLVED,3.0064256861805916e-8,165.85443964860514,166.83414473560586
single,13,260.0,5.27e-5,0.0074794,0.0075357,LOCALLY_SOLVED,3.0064256861805916e-8,166.83414473560586,167.6684388187423
single,14,280.0,5.47e-5,0.0074416,0.0074995,LOCALLY_SOLVED,2.9976945370435715e-8,167.6684388187423,167.44661171686803
single,15,300.0,6.36e-5,0.007445,0.0075116,LOCALLY_SOLVED,3.047171048820019e-8,167.44661171686803,167.10649495887742
single,16,320.0,0.0001049,0.0068349,0.0069439,LOCALLY_SOLVED,2.9831426218152046e-8,167.10649495887742,167.1326058795082
single,17,340.0,5.3e-5,0.0084786,0.0085361,LOCALLY_SOLVED,2.9278453439474106e-8,167.1326058795082,167.2607735240809
single,18,360.0,0.0001168,0.0087116,0.0088311,LOCALLY_SOLVED,2.907472662627697e-8,167.2607735240809,167.2719477173452
single,19,380.0,5.31e-5,0.0069934,0.0070492,LOCALLY_SOLVED,3.000604920089245e-8,167.2719477173452,167.22702555108964
single,20,400.0,5.27e-5,0.0067306,0.006786,LOCALLY_SOLVED,2.9831426218152046e-8,167.22702555108964,167.21570625234958
single,21,420.0,5.07e-5,0.0064388,0.006492,LOCALLY_SOLVED,2.986053004860878e-8,167.21570625234958,167.23025573467908
single,22,440.0,7.42e-5,0.007179,0.0072561,LOCALLY_SOLVED,3.023887984454632e-8,167.23025573467908,167.23672940166404
single,23,460.0,5.4e-5,0.0077372,0.0077947,LOCALLY_SOLVED,2.9889633879065514e-8,167.23672940166404,167.23247001059593
single,24,480.0,6.57e-5,0.0075904,0.0076591,LOCALLY_SOLVED,3.018067218363285e-8,167.23247001059593,167.22942294213084
single,25,500.0,6.74e-5,0.0072512,0.0073222,LOCALLY_SOLVED,2.971501089632511e-8,167.22942294213084,167.23048406792898
single,26,520.0,5.68e-5,0.0075636,0.0076238,LOCALLY_SOLVED,2.9831426218152046e-8,167.23048406792898,167.2317660265062
single,27,540.0,5.33e-5,0.0068574,0.0069134,LOCALLY_SOLVED,2.939486876130104e-8,167.2317660265062,167.2315860290349
single,28,560.0,5.26e-5,0.0072395,0.0072981,LOCALLY_SOLVED,2.9889633879065514e-8,167.2315860290349,167.231089668061
single,29,580.0,0.0001375,0.007568,0.0077086,LOCALLY_SOLVED,2.9423972591757774e-8,167.231089668061,167.231075205701
single,30,600.0,5.27e-5,0.0065204,0.0065752,LOCALLY_SOLVED,2.9831426218152046e-8,167.231075205701,167.23125381396787
single,31,620.0,5.38e-5,0.009645,0.009702,LOCALLY_SOLVED,3.0297087505459785e-8,167.23125381396787,167.23128790139407
single,32,640.0,5.33e-5,0.0066656,0.0067217,LOCALLY_SOLVED,2.9132934287190437e-8,167.23128790139407,167.23122829119347
single,33,660.0,5.83e-5,0.0072521,0.0073134,LOCALLY_SOLVED,2.9132934287190437e-8,167.23122829119347,167.2312062482959
single,34,680.0,5.2e-5,0.0062801,0.0063346,LOCALLY_SOLVED,2.9482180252671242e-8,167.2312062482959,167.23122442205505
single,35,700.0,5.15e-5,0.0096202,0.0096766,LOCALLY_SOLVED,2.994784153997898e-8,167.23122442205505,167.2312353895818
single,36,720.0,0.0001412,0.0108379,0.0109818,LOCALLY_SOLVED,3.064633347094059e-8,167.2312353895818,167.23123053398834
single,37,740.0,7.16e-5,0.0127138,0.0127902,LOCALLY_SOLVED,3.041350282728672e-8,167.23123053398834,167.2312257525287
single,38,760.0,0.0001297,0.0125053,0.0126394,LOCALLY_SOLVED,3.0297087505459785e-8,167.2312257525287,167.23122675119785
single,39,780.0,0.0001283,0.0112116,0.0113444,LOCALLY_SOLVED,3.0529918149113655e-8,167.23122675119785,167.23122865530794
single,40,800.0,9.63e-5,0.0097648,0.0098651,LOCALLY_SOLVED,3.0297087505459785e-8,167.23122865530794,167.23122859839202
single,41,820.0,6.02e-5,0.0121657,0.0122291,LOCALLY_SOLVED,3.018067218363285e-8,167.23122859839202,167.23122789530208
single,42,840.0,5.6e-5,0.0086942,0.0087546,LOCALLY_SOLVED,3.035529516637325e-8,167.23122789530208,167.2312278024764
single,43,860.0,9.27e-5,0.0095228,0.0096187,LOCALLY_SOLVED,3.079185262322426e-8,167.2312278024764,167.231228043759
single,44,880.0,5.47e-5,0.0070517,0.0071089,LOCALLY_SOLVED,3.041350282728672e-8,167.231228043759,167.2312281166948
single,45,900.0,5.22e-5,0.0071761,0.0072312,LOCALLY_SOLVED,3.003515303134918e-8,167.2312281166948,167.23122804035
single,46,920.0,5.17e-5,0.011596,0.0116514,LOCALLY_SOLVED,3.0762748792767525e-8,167.23122804035,167.23122800138043
single,47,940.0,0.0001456,0.0108867,0.0110365,LOCALLY_SOLVED,3.041350282728672e-8,167.23122800138043,167.23122802307878
single,48,960.0,0.0001254,0.0102008,0.010329,LOCALLY_SOLVED,3.041350282728672e-8,167.23122802307878,167.23122804084122
single,49,980.0,5.5e-5,0.00954,0.0095991,LOCALLY_SOLVED,3.041350282728672e-8,167.23122804084122,167.23122804084122
single,50,1000.0,0.0001214,0.0095371,0.0096622,LOCALLY_SOLVED,2.991873770952225e-8,167.23122804084122,167.23122802086934
single,51,1020.0,8.17e-5,0.009071,0.0091575,LOCALLY_SOLVED,3.041350282728672e-8,167.23122802086934,167.23122802086934
single,52,1040.0,0.0001403,0.0112829,0.011427,LOCALLY_SOLVED,3.012246452271938e-8,167.23122802086934,167.2312280466068
single,53,1060.0,8.77e-5,0.0080195,0.0081104,LOCALLY_SOLVED,3.087916411459446e-8,167.2312280466068,167.23122803221852
single,54,1080.0,6.77e-5,0.0070502,0.0071208,LOCALLY_SOLVED,3.041350282728672e-8,167.23122803221852,167.23122803221852
single,55,1100.0,9.41e-5,0.0078645,0.0079611,LOCALLY_SOLVED,3.0529918149113655e-8,167.23122803221852,167.23122802064543
single,56,1120.0,5.31e-5,0.0072516,0.0073075,LOCALLY_SOLVED,3.087916411459446e-8,167.23122802064543,167.2312280331005
single,57,1140.0,5.22e-5,0.0086628,0.0087177,LOCALLY_SOLVED,3.079185262322426e-8,167.2312280331005,167.2312280331005
single,58,1160.0,5.43e-5,0.0074148,0.0074734,LOCALLY_SOLVED,3.064633347094059e-8,167.2312280331005,167.2312280331005
single,59,1180.0,5.59e-5,0.0115127,0.0115731,LOCALLY_SOLVED,3.032619133591652e-8,167.2312280331005,167.2312280331005
single,60,1200.0,0.000101,0.0124517,0.0125564,LOCALLY_SOLVED,3.13448254019022e-8,167.2312280331005,167.2312280331005
single,61,1220.0,5.43e-5,0.0082226,0.0082803,LOCALLY_SOLVED,3.079185262322426e-8,167.2312280331005,167.23122802277766
single,62,1240.0,0.0001164,0.0140161,0.0141358,LOCALLY_SOLVED,3.041350282728672e-8,167.23122802277766,167.23122802277766
single,63,1260.0,5.55e-5,0.0068406,0.0069007,LOCALLY_SOLVED,3.0442606657743454e-8,167.23122802277766,167.23122804838374
single,64,1280.0,5.74e-5,0.0068808,0.006942,LOCALLY_SOLVED,3.111199475824833e-8,167.23122804838374,167.2312280311308
single,65,1300.0,5.32e-5,0.0061876,0.0062432,LOCALLY_SOLVED,3.055902197957039e-8,167.2312280311308,167.2312280311308
single,66,1320.0,5.12e-5,0.0080701,0.0081244,LOCALLY_SOLVED,3.041350282728672e-8,167.2312280311308,167.2312280311308
single,67,1340.0,7.85e-5,0.0087966,0.0088781,LOCALLY_SOLVED,3.0529918149113655e-8,167.2312280311308,167.23122801932774
single,68,1360.0,5.34e-5,0.0076613,0.0077174,LOCALLY_SOLVED,3.070454113185406e-8,167.23122801932774,167.23122803529853
single,69,1380.0,5.23e-5,0.0073871,0.0074433,LOCALLY_SOLVED,3.018067218363285e-8,167.23122803529853,167.23122803529853
single,70,1400.0,7.97e-5,0.00789,0.0079726,LOCALLY_SOLVED,3.087916411459446e-8,167.23122803529853,167.23122803529853
single,71,1420.0,5.4e-5,0.007624,0.0076811,LOCALLY_SOLVED,3.087916411459446e-8,167.23122803529853,167.23122802411805
single,72,1440.0,5.34e-5,0.0093356,0.0093928,LOCALLY_SOLVED,3.0297087505459785e-8,167.23122802411805,167.23122802411805
single,73,1460.0,5.82e-5,0.0078297,0.0078908,LOCALLY_SOLVED,3.0529918149113655e-8,167.23122802411805,167.2312280429633
single,74,1480.0,5.36e-5,0.0083731,0.0084298,LOCALLY_SOLVED,3.087916411459446e-8,167.2312280429633,167.23122803163724
single,75,1500.0,5.25e-5,0.0069428,0.0069987,LOCALLY_SOLVED,3.055902197957039e-8,167.23122803163724,167.23122803163724
single,76,1520.0,5.1e-5,0.0069042,0.0069587,LOCALLY_SOLVED,3.0762748792767525e-8,167.23122803163724,167.23122803163724
single,77,1540.0,5.27e-5,0.0067595,0.0068152,LOCALLY_SOLVED,3.064633347094059e-8,167.23122803163724,167.23122802123888
single,78,1560.0,5.24e-5,0.0063841,0.0064391,LOCALLY_SOLVED,3.0762748792767525e-8,167.23122802123888,167.23122803437286
single,79,1580.0,5.15e-5,0.0085903,0.0086452,LOCALLY_SOLVED,3.0529918149113655e-8,167.23122803437286,167.23122803437286
single,80,1600.0,5.31e-5,0.0066949,0.0067515,LOCALLY_SOLVED,3.0297087505459785e-8,167.23122803437286,167.23122803437286
single,81,1620.0,5.92e-5,0.0081287,0.008191,LOCALLY_SOLVED,3.064633347094059e-8,167.23122803437286,167.23122803437286
single,82,1640.0,6.38e-5,0.0078269,0.007895,LOCALLY_SOLVED,3.064633347094059e-8,167.23122803437286,167.2312280189239
single,83,1660.0,6.99e-5,0.0076765,0.007749,LOCALLY_SOLVED,3.111199475824833e-8,167.2312280189239,167.23122803316792
single,84,1680.0,5.25e-5,0.006928,0.0069835,LOCALLY_SOLVED,3.0995579436421394e-8,167.23122803316792,167.23122803316792
single,85,1700.0,5.37e-5,0.0075886,0.0076453,LOCALLY_SOLVED,3.0995579436421394e-8,167.23122803316792,167.23122803316792
single,86,1720.0,5.46e-5,0.0070153,0.0070725,LOCALLY_SOLVED,3.0529918149113655e-8,167.23122803316792,167.23122803316792
single,87,1740.0,5.33e-5,0.0070867,0.0071455,LOCALLY_SOLVED,3.018067218363285e-8,167.23122803316792,167.23122803316792
single,88,1760.0,7.05e-5,0.0067517,0.0068251,LOCALLY_SOLVED,3.041350282728672e-8,167.23122803316792,167.23122803316792
single,89,1780.0,5.14e-5,0.0063156,0.0063692,LOCALLY_SOLVED,3.087916411459446e-8,167.23122803316792,167.23122801816078
single,90,1800.0,4.96e-5,0.0070799,0.0071326,LOCALLY_SOLVED,3.064633347094059e-8,167.23122801816078,167.23122803444016
single,91,1820.0,5.29e-5,0.0065459,0.0066016,LOCALLY_SOLVED,3.041350282728672e-8,167.23122803444016,167.23122803444016
single,92,1840.0,5.42e-5,0.0085283,0.0085849,LOCALLY_SOLVED,3.0297087505459785e-8,167.23122803444016,167.23122803444016
single,93,1860.0,5.27e-5,0.0066709,0.006727,LOCALLY_SOLVED,3.0995579436421394e-8,167.23122803444016,167.23122803444016
single,94,1880.0,5.48e-5,0.0086414,0.0087,LOCALLY_SOLVED,3.050081431865692e-8,167.23122803444016,167.23122802092428
single,95,1900.0,5.61e-5,0.007304,0.0073632,LOCALLY_SOLVED,3.0762748792767525e-8,167.23122802092428,167.2312280321007
single,96,1920.0,5.43e-5,0.0078721,0.0079303,LOCALLY_SOLVED,3.087916411459446e-8,167.2312280321007,167.2312280321007
single,97,1940.0,7.72e-5,0.0115993,0.011681,LOCALLY_SOLVED,3.0442606657743454e-8,167.2312280321007,167.2312280321007
single,98,1960.0,7.33e-5,0.0092359,0.0093121,LOCALLY_SOLVED,3.087916411459446e-8,167.2312280321007,167.2312280321007
single,99,1980.0,5.4e-5,0.0066117,0.006669,LOCALLY_SOLVED,3.0995579436421394e-8,167.2312280321007,167.2312280321007
single,100,2000.0,5.2e-5,0.0096351,0.00969,LOCALLY_SOLVED,3.090826794505119e-8,167.2312280321007,167.2312280321007
single,101,2020.0,5.37e-5,0.0071596,0.0072166,LOCALLY_SOLVED,3.0297087505459785e-8,167.2312280321007,167.2312280321007
single,102,2040.0,8.03e-5,0.0077986,0.0078827,LOCALLY_SOLVED,3.0995579436421394e-8,167.2312280321007,167.2312280321007
single,103,2060.0,6.18e-5,0.0078566,0.0079215,LOCALLY_SOLVED,3.0529918149113655e-8,167.2312280321007,167.2312280321007
single,104,2080.0,7.45e-5,0.016953,0.0170316,LOCALLY_SOLVED,3.064633347094059e-8,167.2312280321007,167.2312280214281
single,105,2100.0,0.0001034,0.0214394,0.0215483,LOCALLY_SOLVED,772.548134140321,167.2312280214281,800.0000071559042
single,106,2120.0,0.0001602,0.0148723,0.0150363,LOCALLY_SOLVED,838.2354819548491,800.0000071559042,800.0000069186541
single,107,2140.0,0.0001141,0.0152636,0.0153811,LOCALLY_SOLVED,889.355062364164,800.0000069186541,800.0000066948314
single,108,2160.0,8.96e-5,0.0198215,0.0199173,LOCALLY_SOLVED,929.729553035053,800.0000066948314,800.0000064760749
single,109,2180.0,0.000142,0.0139247,0.0140701,LOCALLY_SOLVED,961.960432719934,800.0000064760749,800.0000062596089
single,110,2200.0,5.26e-5,0.0112573,0.0113131,LOCALLY_SOLVED,987.9878347404301,800.0000062596089,800.0000060443095
single,111,2220.0,5.58e-5,0.0103928,0.0104524,LOCALLY_SOLVED,1009.2102834829129,800.0000060443095,800.0000058297512
single,112,2240.0,0.0001393,0.011155,0.0112975,LOCALLY_SOLVED,1026.6265759012313,800.0000058297512,800.0000056158559
single,113,2260.0,7.61e-5,0.0310681,0.0311485,LOCALLY_SOLVED,55.39327846860397,800.0000056158559,2.7644773178607152e-6
single,114,2280.0,0.0001201,0.0174404,0.0175649,LOCALLY_SOLVED,44.88964442454744,2.7644773178607152e-6,2.291618890474685e-6
single,115,2300.0,0.0001176,0.0115899,0.0117109,LOCALLY_SOLVED,41.87013491769903,2.291618890474685e-6,1.9697001723361198e-6
single,116,2320.0,5.43e-5,0.0135421,0.0136008,LOCALLY_SOLVED,40.67790395501652,1.9697001723361198e-6,1.7543723848287128e-6
single,117,2340.0,0.0001207,0.0131744,0.0132982,LOCALLY_SOLVED,38.36897623751429,1.7543723848287128e-6,1.625793567488549e-6
single,118,2360.0,5.48e-5,0.0077647,0.0078227,LOCALLY_SOLVED,33.63737637171289,1.625793567488549e-6,1.5833376449470238e-6
single,119,2380.0,5.21e-5,0.0111504,0.0112105,LOCALLY_SOLVED,26.437977481575217,1.5833376449470238e-6,1.6518246941000668e-6
single,120,2400.0,0.0001417,0.0141397,0.0142852,LOCALLY_SOLVED,17.79767820829875,1.6518246941000668e-6,1.9125617224998722e-6
