metric,value
RMSE diff C1,0.5762177067099947
RMSE diff C2,0.5762231477522722
RMSE diff C3,0.5762154422035998
RMSE diff Cmix,0.5762721661439655
RMSE diff cO,0.2510477524236609
RMSE diff Q,143.9561947019966
Max abs diff C1,3.1849524264496836
Max abs diff C2,3.184979461280193
Max abs diff C3,3.1849731555533367
Max abs diff Cmix,3.1852634531234685
Max abs diff cO,1.3374861862864458
Max abs diff Q,800.0000062212206
Final diff C1,0.000980865149699639
Final diff C2,0.0009808444449390663
Final diff C3,0.000980852677173516
Final diff Cmix,0.0009809448070541293
Final diff cO,-0.0009963788933786688
Final diff Q,0.36469315802065694
